Question,Citations
What dictates the delivery of the short-year statement to the customer?,"<citation 1 for short-year statement>, <citation 2 for short-year statement>"
What happens if a loan is more than 30 days past due at the time of escrow account analysis?,"<citation 1 for loan past due>, <citation 2 for loan past due>"
How can a new Servicer determine the new escrow account computation year upon the transfer of servicing?,"<citation 1 for new Servicer>, <citation 2 for new Servicer>"
What are the requirements for a customer to be eligible for escrow removal?,"<citation 1 for escrow removal>, <citation 2 for escrow removal>"
How long must a customer maintain an escrow account for HPML loans?,"<citation 1 for HPML loans>, <citation 2 for HPML loans>"
What happens if a customer wants to spread their escrow shortage payment over more than 12 months?,"<citation 1 for escrow shortage>, <citation 2 for escrow shortage>"
What are the insurance policy types required at origination and throughout the life of a Mortgage loan?,"<citation 1 for insurance policy types>, <citation 2 for insurance policy types>"
What is Lender-Placed Insurance?,"<citation 1 for Lender-Placed Insurance>, <citation 2 for Lender-Placed Insurance>"
How can customers pay for Private Mortgage Insurance premiums?,"<citation 1 for PMI premiums>, <citation 2 for PMI premiums>"
How can an FHA loan benefit a borrower?,"<citation 1 for FHA loan>, <citation 2 for FHA loan>"
How long does a customer have to cash a refund or escrow check before it becomes void?,"<citation 1 for refund check>, <citation 2 for refund check>"
What action is taken if the escrow refund check is not cashed after 60 days from issue?,"<citation 1 for uncashed refund check>, <citation 2 for uncashed refund check>"
